name,id,latitude,longitude,altitude,velocity,visibility,footprint,timestamp,daynum,solar_lat,solar_lon,units
iss,25544,-35.697571619968,-104.04618539887,448.05649468435,27513.360558912,daylight,4647.5334646059,1600463130,2459111.3788194,1.4273507255064,222.08791252722,kilometers
iss,25544,-33.147700364871,-100.79480426706,447.04783623741,27515.481629014,daylight,4642.5875613627,1600463190,2459111.3795139,1.427081450675,221.83785047496,kilometers
iss,25544,-30.45881859177,-97.693654887916,446.00095561157,27517.732765375,daylight,4637.4473592936,1600463251,2459111.3802199,1.4268076878594,221.58362091476,kilometers
iss,25544,-27.7328247237,-94.820246439411,444.96519149599,27520.015305021,daylight,4632.3548212862,1600463311,2459111.3809144,1.4265384126623,221.33355903036,kilometers
iss,25544,-24.938266150745,-92.099588186928,443.93814543475,27522.340954483,daylight,4627.2983297218,1600463371,2459111.3816088,1.4262691371973,221.08349714605,kilometers
iss,25544,-22.0856106502,-89.510589825982,442.93402297668,27524.685604288,daylight,4622.3481136368,1600463431,2459111.3823032,1.4259998614559,220.83343526185,kilometers
iss,25544,-19.135411890619,-86.993221551007,441.95061858436,27527.064723913,daylight,4617.4937039796,1600463492,2459111.3830093,1.4257260975376,220.57920570201,kilometers
iss,25544,-16.192795564559,-84.611603477692,441.03298776009,27529.377716872,daylight,4612.958305625,1600463552,2459111.3837037,1.4254568212561,220.32914381797,kilometers
iss,25544,-13.167421438443,-82.268848417382,440.16248213298,27531.680042506,daylight,4608.6507502915,1600463613,2459111.3844097,1.4251830565941,220.07491409066,kilometers
iss,25544,-10.165413426882,-80.025765436978,439.37799323487,27533.876756798,daylight,4604.7645908929,1600463673,2459111.3851042,1.4249137797669,219.82485220681,kilometers
iss,25544,-7.1437639928934,-77.82846470954,438.67343789986,27535.988817121,daylight,4601.2709639844,1600463733,2459111.3857986,1.4246445026663,219.57479032305,kilometers
iss,25544,-4.1084474556291,-75.662737272856,438.05593383314,27538.001120489,daylight,4598.2063101892,1600463793,2459111.3864931,1.4243752252951,219.32472843939,kilometers
iss,25544,-1.0144375909143,-73.479124658977,437.52293771571,27539.931521415,daylight,4595.5590483622,1600463854,2459111.3871991,1.4241014597144,219.07049888012,kilometers
iss,25544,2.0311511354794,-71.335566980389,437.09556856758,27541.706251029,daylight,4593.435056657,1600463914,2459111.3878935,1.4238321818007,218.82043699663,kilometers
iss,25544,5.1240693289255,-69.146717717069,436.76138928534,27543.376388875,daylight,4591.7733710662,1600463975,2459111.3885995,1.4235584156627,218.56620743755,kilometers
iss,25544,8.1571919707854,-66.970598468545,436.53124462574,27544.881885984,daylight,4590.6285618147,1600464035,2459111.389294,1.4232891370233,218.31614538657,kilometers
iss,25544,11.175435364834,-64.757534572418,436.39690353644,27546.248569893,daylight,4589.9601465573,1600464095,2459111.3899884,1.423019858291,218.06608350336,kilometers
iss,25544,14.222417916937,-62.454787976509,436.35473346904,27547.495554514,daylight,4589.7503043852,1600464156,2459111.3906944,1.4227460913267,217.81185394455,kilometers
iss,25544,17.191602292954,-60.122391728646,436.40069973364,27548.584197669,daylight,4589.9790362095,1600464216,2459111.3913889,1.4224768120522,217.56179206153,kilometers
iss,25544,20.126026626737,-57.706824638919,436.52648140406,27549.540549722,daylight,4590.6048644062,1600464276,2459111.3920833,1.4222075325045,217.3117301786,kilometers
iss,25544,23.017877908031,-55.190665765289,436.72384098575,27550.371097104,daylight,4591.5866183649,1600464336,2459111.3927778,1.4219382526866,217.06166829576,kilometers
iss,25544,25.905318475165,-52.510091539639,436.98815320606,27551.095078219,daylight,4592.9010209634,1600464397,2459111.3934838,1.4216644846187,216.80743873732,kilometers
iss,25544,28.683767648967,-49.732436567844,437.3002012084,27551.698754821,daylight,4594.4522155111,1600464457,2459111.3941782,1.4213952042588,216.55737685466,kilometers
iss,25544,31.389938532264,-46.792989867494,437.65265746788,27552.206089452,daylight,4596.2035071422,1600464517,2459111.3948727,1.421125923623,216.30731497211,kilometers
iss,25544,34.054122216785,-43.614696659555,438.04035263809,27552.635598243,daylight,4598.128948745,1600464578,2459111.3955787,1.4208521545491,216.05308524627,kilometers
iss,25544,36.574380148628,-40.276982741074,438.43842185688,27552.986133122,daylight,4600.1048821303,1600464638,2459111.3962731,1.4205828733715,215.80302336389,kilometers
iss,25544,38.978728262819,-36.704349630372,438.84098653605,27553.278479159,daylight,4602.1020704215,1600464698,2459111.3969676,1.4203135919268,215.5529614816,kilometers
iss,25544,41.285135447477,-32.806090126329,439.24267566511,27553.529513503,daylight,4604.0938542664,1600464759,2459111.3976736,1.4200398221993,215.29873192373,kilometers
iss,25544,43.39676545078,-28.687352490968,439.61876872377,27553.743908906,daylight,4605.9577602901,1600464819,2459111.3983681,1.41977054021,215.04867004162,kilometers
iss,25544,45.329428158993,-24.268649272863,439.96521946559,27553.938189056,daylight,4607.6739400602,1600464879,2459111.3990625,1.4195012579508,214.7986081596,kilometers
iss,25544,47.084972769247,-19.458333804103,440.27690316248,27554.126545728,eclipsed,4609.2172266256,1600464940,2459111.3997685,1.4192274873954,214.54437860202,kilometers
iss,25544,48.579172905454,-14.4153754805,440.53469776919,27554.31283104,eclipsed,4610.4932042334,1600465000,2459111.400463,1.4189582044087,214.29431655251,kilometers
iss,25544,49.816215575114,-9.0800703039928,440.73653418548,27554.508588481,eclipsed,4611.4919088272,1600465060,2459111.4011574,1.4186889213324,214.04425467078,kilometers
iss,25544,50.771288777382,-3.4872514048783,440.87626196381,27554.720551964,eclipsed,4612.1831386067,1600465120,2459111.4018519,1.4184196379863,213.79419278914,kilometers
iss,25544,51.431285294625,2.4066678803658,440.94986501747,27554.95768791,eclipsed,4612.5471998358,1600465181,2459111.4025579,1.4181458663319,213.53996323192,kilometers
iss,25544,51.758658061471,8.3351908044536,440.95184961533,27555.215147979,eclipsed,4612.5570157211,1600465241,2459111.4032523,1.4178765824447,213.28990135045,kilometers
iss,25544,51.758483350015,14.308517555512,440.88262256331,27555.497433227,eclipsed,4612.2146013003,1600465301,2459111.4039468,1.4176072982819,213.03983946909,kilometers
iss,25544,51.422544428532,20.335131772202,440.73957772966,27555.808513676,eclipsed,4611.5069665203,1600465362,2459111.4046528,1.4173335258031,212.78560991215,kilometers
iss,25544,50.770331651708,26.131421951235,440.52945442304,27556.134711486,eclipsed,4610.4672561446,1600465422,2459111.4053472,1.4170642410994,212.53554803097,kilometers
iss,25544,49.796394078487,31.815831345034,440.24907128563,27556.481200794,eclipsed,4609.0794442755,1600465483,2459111.4060532,1.4167904678844,212.28131830654,kilometers
iss,25544,48.554277600943,37.147015778029,439.91298541938,27556.829050942,eclipsed,4607.4152435748,1600465543,2459111.4067477,1.4165211826399,212.03125642554,kilometers
iss,25544,47.055327964086,42.185499395097,439.52392662664,27557.174551572,eclipsed,4605.4878130754,1600465603,2459111.4074421,1.4162518971228,211.78119454464,kilometers
iss,25544,45.325911305389,46.914994658689,439.09006162859,27557.506792161,eclipsed,4603.3372391297,1600465663,2459111.4081366,1.4159826113363,211.53113266383,kilometers
iss,25544,43.358509854204,51.405433949436,438.61271462005,27557.818281026,eclipsed,4600.9697073552,1600465724,2459111.4088426,1.415708837201,211.27690310746,kilometers
iss,25544,41.243045035725,55.51998610851,438.1181240712,27558.085153653,eclipsed,4598.5150720367,1600465784,2459111.409537,1.4154395508738,211.02684122682,kilometers
iss,25544,38.972036171501,59.352737920703,437.61003078991,27558.298436496,eclipsed,4595.9917464141,1600465844,2459111.4102315,1.4151702642714,210.7767793463,kilometers
iss,25544,36.525267020116,62.983567034372,437.09193233818,27558.444996237,eclipsed,4593.4169797043,1600465905,2459111.4109375,1.4148964891322,210.52254962252,kilometers
iss,25544,34.00181519294,66.3182856304,436.59333449639,27558.504708769,eclipsed,4590.9374501508,1600465965,2459111.4116319,1.4146272019894,210.27248774217,kilometers
iss,25544,31.379013271827,69.443516968659,436.11823799464,27558.465593424,eclipsed,4588.5732627229,1600466025,2459111.4123264,1.4143579145773,210.02242586192,kilometers
iss,25544,28.625464082574,72.431272574598,435.67213797458,27558.309521018,eclipsed,4586.3520068927,1600466086,2459111.4130324,1.4140841387923,209.7681963061,kilometers
iss,25544,25.844220382744,75.207184470183,435.28194444861,27558.027663136,eclipsed,4584.4080423751,1600466146,2459111.4137269,1.4138148508371,209.51813442603,kilometers
iss,25544,22.954042510723,77.886378636444,434.94661728881,27557.597534096,eclipsed,4582.7366167401,1600466207,2459111.4144329,1.4135410744972,209.26390487041,kilometers
iss,25544,20.059593275699,80.401547993709,434.68803743077,27557.021891138,eclipsed,4581.4472244109,1600466267,2459111.4151273,1.413271785999,209.01384299053,kilometers
iss,25544,17.073396422111,82.855977012455,434.50764469897,27556.271744696,eclipsed,4580.5474437272,1600466328,2459111.4158333,1.4129980089296,208.75961326741,kilometers
iss,25544,14.10127943273,85.186831223106,434.41993751519,27555.364129904,eclipsed,4580.1098908588,1600466388,2459111.4165278,1.4127287198886,208.50955138771,kilometers
iss,25544,11.101715818608,87.451348903008,434.4283038446,27554.282887775,eclipsed,4580.1516309448,1600466448,2459111.4172222,1.4124594305755,208.25948950812,kilometers
iss,25544,8.0307715602404,89.701313538377,434.54093147736,27553.002736399,eclipsed,4580.7134911143,1600466509,2459111.4179282,1.4121856528611,208.00525995296,kilometers
iss,25544,4.9953484079849,91.877628043136,434.75793863561,27551.565401655,eclipsed,4581.7958262956,1600466569,2459111.4186227,1.4119163630082,207.75519807354,kilometers
iss,25544,1.9510946520742,94.031469314528,435.08225944554,27549.953815154,eclipsed,4583.4128100162,1600466629,2459111.4193171,1.4116470728863,207.50513619422,kilometers
iss,25544,-1.1471190744083,96.212148857161,435.52207875521,27548.14207429,eclipsed,4585.6045236601,1600466690,2459111.4200231,1.4113732943468,207.25090663935,kilometers
